contour_id,vertex_index,x2_protein_mg_ml,x1_il_wt_pct,threshold_ci
1,121,11.111111111111112,18.00237588361782,0.1
1,122,12.121212121212121,18.00237588361782,0.1
1,123,13.131313131313131,18.00237588361782,0.1
1,124,14.141414141414142,18.00237588361782,0.1
1,125,14.429945016328714,18.181818181818183,0.1
1,126,14.429945016328714,19.191919191919194,0.1
1,127,14.429945016328714,20.202020202020204,0.1
1,128,14.429945016328714,21.212121212121215,0.1
1,129,14.429945016328714,22.222222222222225,0.1
1,130,14.429945016328714,23.232323232323235,0.1
1,131,14.429945016328714,24.242424242424242,0.1
1,132,14.429945016328714,25.252525252525253,0.1
1,133,14.429945016328714,26.262626262626263,0.1
1,134,14.276742522754603,27.272727272727273,0.1
1,135,14.276742522754603,28.282828282828284,0.1
1,136,14.276742522754603,29.292929292929294,0.1
1,137,14.276742522754603,30.303030303030305,0.1
1,138,14.276742522754603,31.313131313131315,0.1
1,139,14.276742522754603,32.323232323232325,0.1
1,140,14.276742522754603,33.333333333333336,0.1
1,141,14.276742522754603,34.343434343434346,0.1
1,142,15.151515151515152,35.2179539684906,0.1
1,143,16.161616161616163,35.2179539684906,0.1
1,144,17.171717171717173,35.2179539684906,0.1
1,145,18.181818181818183,35.2179539684906,0.1
1,146,19.191919191919194,35.2179539684906,0.1
1,147,20.202020202020204,35.2179539684906,0.1
1,148,21.212121212121215,35.2179539684906,0.1
1,149,22.222222222222225,35.2179539684906,0.1
1,150,23.232323232323232,35.2179539684906,0.1
1,151,24.242424242424242,35.2179539684906,0.1
1,152,25.252525252525253,35.2179539684906,0.1
1,153,26.262626262626263,35.2179539684906,0.1
1,154,27.272727272727273,35.2179539684906,0.1
1,155,28.282828282828284,35.2179539684906,0.1
1,156,29.292929292929294,35.2179539684906,0.1
1,157,30.303030303030305,35.2179539684906,0.1
1,158,31.313131313131315,35.23806265610443,0.1
1,159,32.323232323232325,35.23806265610443,0.1
1,160,33.333333333333336,35.23806265610443,0.1
1,161,34.343434343434346,35.23806265610443,0.1
1,162,35.35353535353536,35.23806265610443,0.1
1,163,36.36363636363637,35.23806265610443,0.1
1,164,37.37373737373738,35.23806265610443,0.1
1,165,38.38383838383839,35.23806265610443,0.1
1,166,39.3939393939394,35.21443119609939,0.1
1,167,40.40404040404041,35.21443119609939,0.1
1,168,41.41414141414142,35.21443119609939,0.1
1,169,42.42424242424243,35.21443119609939,0.1
1,170,43.43434343434344,35.21443119609939,0.1
1,171,44.44444444444445,35.21443119609939,0.1
1,172,45.45454545454547,35.183125833966315,0.1
1,173,46.46464646464647,35.183125833966315,0.1
1,174,47.47474747474748,35.183125833966315,0.1
1,175,48.484848484848484,35.183125833966315,0.1
1,176,49.494949494949495,35.183125833966315,0.1
1,177,50.505050505050505,35.183125833966315,0.1
1,178,51.515151515151516,35.183125833966315,0.1
1,179,52.525252525252526,35.183125833966315,0.1
1,180,53.535353535353536,35.183125833966315,0.1
1,181,54.54545454545455,35.183125833966315,0.1
1,182,55.55555555555556,35.095701496291,0.1
1,183,56.56565656565657,35.095701496291,0.1
1,184,57.57575757575758,35.095701496291,0.1
1,185,58.58585858585859,35.095701496291,0.1
1,186,59.5959595959596,35.095701496291,0.1
1,187,60.60606060606061,35.095701496291,0.1
