point_id,x1_il_wt_pct,x2_protein_mg_ml,ci,y2_crystalline,y1_rg_angstrom,r2_w,source_ml_targets_data_row_1based,raw_dat_filename,raw_dat_path,raw_dat_exists,source_cleaned_csv,source_ml_targets_csv,source_ml_targets_xlsx
74,66.7,37.5,0.0,0,17.7,1.0,76,EAN66.7_37.5mg.dat,selected_for_ML\EAN66.7_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
75,66.7,40.0,0.0,0,17.5,1.0,77,EAN66.7_40mg.dat,selected_for_ML\EAN66.7_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
76,66.7,50.0,0.0,0,16.9,1.0,78,EAN66.7_50mg.dat,selected_for_ML\EAN66.7_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
77,66.7,60.0,0.0,0,14.6,1.0,79,EAN66.7_60mg.dat,selected_for_ML\EAN66.7_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
78,66.7,75.0,0.0,0,14.6,1.0,80,EAN66.7_75mg.dat,selected_for_ML\EAN66.7_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
79,66.7,100.0,0.0,0,13.2,1.0,81,EAN66.7_100mg.dat,selected_for_ML\EAN66.7_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
80,75.0,2.5,0.0,0,19.6,0.99,82,EAN75_2.5mg.dat,selected_for_ML\EAN75_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
81,75.0,5.0,0.0,0,18.1,0.99,83,EAN75_5mg.dat,selected_for_ML\EAN75_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
82,75.0,25.0,0.0,0,18.7,1.0,84,EAN75_25mgb.dat,selected_for_ML\EAN75_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
83,75.0,37.5,0.0,0,17.5,0.99,85,EAN75_37.5mg.dat,selected_for_ML\EAN75_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
84,75.0,40.0,0.0,0,15.7,1.0,86,EAN75_40mg.dat,selected_for_ML\EAN75_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
85,75.0,50.0,0.0,0,14.2,0.99,87,EAN75_50mg.dat,selected_for_ML\EAN75_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
86,75.0,60.0,0.0,0,13.9,0.99,88,EAN75_60mg.dat,selected_for_ML\EAN75_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
87,75.0,75.0,0.0,0,13.0,0.98,89,EAN75_75mg.dat,selected_for_ML\EAN75_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
88,75.0,100.0,0.0,0,14.1,0.99,90,EAN75_100mg.dat,selected_for_ML\EAN75_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
89,99.0,2.5,0.0,0,16.9,1.0,91,EAN99_2.5mg.dat,selected_for_ML\EAN99_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
90,99.0,5.0,0.0,0,17.2,1.0,92,EAN99_5mg.dat,selected_for_ML\EAN99_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
91,99.0,25.0,0.0,0,19.1,1.0,93,EAN99_25mgb.dat,selected_for_ML\EAN99_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
92,99.0,37.5,0.0,0,18.4,1.0,94,EAN99_37.5mg.dat,selected_for_ML\EAN99_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
93,99.0,40.0,0.0,0,14.6,0.99,95,EAN99_40mg.dat,selected_for_ML\EAN99_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
94,99.0,50.0,0.0,0,14.6,1.0,96,EAN99_50mg.dat,selected_for_ML\EAN99_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
95,99.0,60.0,0.0,0,13.0,0.93,97,EAN99_60mg.dat,selected_for_ML\EAN99_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
96,99.0,70.0,0.0,0,11.4,0.88,98,EAN99_70mg.dat,selected_for_ML\EAN99_70mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv

