x2_protein_mg_ml,x1_il_wt_pct_min,x1_il_wt_pct_max,n_grid_points_in_region,criterion
63.63636363636364,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
64.64646464646465,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
65.65656565656566,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
66.66666666666667,1.0101010101010102,34.343434343434346,34,predicted_CI >= 0.1
67.67676767676768,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
68.68686868686869,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
69.6969696969697,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
70.70707070707071,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
71.71717171717172,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
72.72727272727273,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
73.73737373737374,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
74.74747474747475,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
75.75757575757576,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
76.76767676767678,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
77.77777777777779,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
78.7878787878788,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
79.7979797979798,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
80.80808080808082,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
81.81818181818183,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
82.82828282828284,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
83.83838383838385,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
84.84848484848486,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
85.85858585858587,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
86.86868686868688,1.0101010101010102,34.343434343434346,25,predicted_CI >= 0.1
87.87878787878789,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
88.8888888888889,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
89.89898989898991,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
90.90909090909092,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
91.91919191919193,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
92.92929292929294,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
93.93939393939395,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
94.94949494949496,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
95.95959595959597,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
96.96969696969697,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
97.97979797979798,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
98.98989898989899,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1
100.0,1.0101010101010102,17.171717171717173,17,predicted_CI >= 0.1

